Precinct Name,PRCT,CG,LEG,CM,SW,JD,PK,HD,WD,MCDName,MCD,FIPS,CountyID,7AM,EDR,Signatures,RegMilAB,FedAB,PresAB,TotVoters,VSCode,EquipmentModel,USPRESR,USPRESDFL,USPRESGP,USPRESSWP,USPRESIND,USPRESLIB,USPRESCP,USPRESWI,USPRESTOT,USSENIP,USSENR,USSENDFL,USSENLIB,USSENCP,USSENWI,USSENTOT,CONGIP,CONGR,CONGDFL,CONGWI,CONGTOT,MNSENR,MNSENDFL,MNSENWI,MNSENTOT,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOT,AMENDYES,AMENDNO
AITKIN,0005,08,03B,01,,09,,,,Aitkin,004,460,1,1190,166,869,155,0,0,1024,2,Model 100,499,501,2,0,12,3,1,2,1020,177,414,407,7,3,4,1012,0,362,627,3,992,,,,,0,412,567,6,985,565,418
AITKIN TWP,0010,08,03B,01,,09,,,,Aitkin Twp,005,478,1,553,66,466,46,0,0,512,2,Model 100,294,205,0,0,8,3,1,1,512,100,242,162,2,3,0,509,0,236,261,1,498,,,,,0,245,252,1,498,214,275
BALL BLUFF TWP,0015,08,03B,05,,09,,,,Ball Bluff Twp,015,3358,1,217,17,180,7,0,0,187,2,Model 100,81,98,1,0,5,1,0,0,186,34,64,87,1,0,0,186,0,56,126,0,182,,,,,0,54,125,0,179,82,98
BALSAM TWP,0020,08,03B,05,,09,,,,Balsam Twp,020,3412,1,32,2,28,2,0,0,30,1,Model 100,14,16,0,0,0,0,0,0,30,2,10,18,0,0,0,30,0,9,20,0,29,,,,,0,7,22,0,29,19,10
BEAVER TWP,0025,08,03B,03,,09,,,,Beaver Twp,025,4384,1,46,2,31,3,0,0,34,1,Model 100,8,25,0,0,0,0,0,0,33,3,5,25,0,0,0,33,0,6,26,0,32,,,,,0,6,28,0,34,27,7
CLARK TWP,0030,08,03B,04,,09,,,,Clark Twp,030,11620,1,111,13,99,6,0,0,105,2,Model 100,53,50,0,0,1,0,0,1,105,12,45,45,0,0,0,102,0,35,67,0,102,,,,,0,30,68,0,98,47,48
CORNISH TWP,0035,08,03B,05,,09,,,,Cornish Twp,035,13330,1,33,0,22,0,0,0,22,1,Model 100,5,14,0,0,1,0,1,0,21,3,3,14,0,1,0,21,0,4,16,1,21,,,,,0,3,18,0,21,9,10
UNORG 47-24 (DAVIDSON UNORG),0038,08,03B,03,,09,,,,Davidson Unorganized,038,14903,1,23,3,22,2,0,0,24,2,Model 100,9,14,0,0,0,0,1,0,24,5,7,11,0,1,0,24,0,6,17,0,23,,,,,0,6,16,0,22,11,10
FARM ISLAND TWP,0040,08,03B,02,,09,,,,Farm Island Twp,040,20654,1,789,61,603,147,0,0,750,2,Model 100,398,331,0,0,13,1,1,3,747,147,331,263,0,3,0,744,0,312,418,0,730,,,,,0,327,401,0,728,356,367
FLEMING TWP,0045,08,03B,04,,09,,,,Fleming Twp,045,21230,1,242,27,202,32,0,0,234,2,Model 100,123,102,2,1,2,0,0,2,232,52,98,82,0,1,0,233,0,93,135,0,228,,,,,0,96,128,1,225,91,130
GLEN TWP,0050,08,03B,03,,09,,,,Glen Twp,050,23930,1,346,28,250,63,0,0,313,2,Model 100,147,164,0,0,1,0,0,1,313,72,98,140,0,0,0,310,0,96,206,0,302,,,,,0,108,178,0,286,147,149
HAUGEN TWP,0055,08,03B,04,,09,,,,Haugen Twp,055,27602,1,134,5,108,8,0,0,116,2,Model 100,51,60,0,0,3,2,0,0,116,19,45,51,0,1,0,116,0,42,74,0,116,,,,,0,42,70,1,113,56,56
HAZELTON TWP,0060,08,03B,02,,09,,,,Hazelton Twp,060,28052,1,523,62,418,77,0,0,495,2,Model 100,234,251,1,0,5,3,0,0,494,101,187,205,2,0,0,495,0,191,299,0,490,,,,,0,197,281,0,478,249,226
HILL CITY,0065,08,03B,05,,09,,,,Hill City,065,29096,1,334,58,245,15,0,0,260,2,Model 100,110,140,2,1,3,2,0,0,258,34,84,134,2,1,0,255,0,73,176,0,249,,,,,0,93,161,0,254,133,118
HILL LAKE TWP,0070,08,03B,05,,09,,,,Hill Lake Twp,070,29114,1,269,40,241,15,0,0,256,2,Model 100,108,145,0,0,2,0,1,0,256,37,82,132,1,1,0,253,0,68,185,0,253,,,,,0,84,168,0,252,120,126
IDUN TWP,0075,08,03B,03,,09,,,,Idun Twp,075,30788,1,125,31,122,8,0,0,130,2,Model 100,47,81,0,0,1,0,0,1,130,23,34,69,1,1,0,128,0,31,93,1,125,,,,,0,29,89,0,118,61,66
JEVNE TWP,0080,08,03B,04,,09,,,,Jevne Twp,080,31958,1,193,24,151,8,0,0,159,2,Model 100,80,69,1,0,5,2,0,0,157,26,68,60,2,1,0,157,0,49,103,0,152,,,,,0,57,95,0,152,66,83
UNORG 45-24 (JEWETT UNORG),0082,08,03B,03,,09,,,,Jewett Unorganized,082,31966,1,21,4,21,0,0,0,21,1,Model 100,7,11,0,0,0,0,1,1,20,7,4,10,0,0,0,21,0,4,17,0,21,,,,,0,4,17,0,21,12,8
KIMBERLY TWP,0085,08,03B,03,,09,,,,Kimberly Twp,085,33218,1,141,7,109,9,0,0,118,2,Model 100,64,54,0,0,0,0,0,0,118,27,42,45,2,1,1,118,0,34,81,0,115,,,,,0,43,74,0,117,42,65
LAKESIDE TWP,0090,08,03B,03,,09,,,,Lakeside Twp,090,34982,1,378,46,304,40,0,0,344,2,Model 100,169,163,0,1,6,1,0,2,342,67,146,125,2,0,0,340,0,125,207,1,333,,,,,0,126,203,1,330,135,197
LEE TWP,0095,08,03B,03,,09,,,,Lee Twp,095,36152,1,37,4,33,1,0,0,34,1,Model 100,20,10,0,0,0,0,0,0,30,5,16,10,0,0,0,31,0,11,17,0,28,,,,,0,14,13,0,27,16,12
LIBBY TWP E,0100,08,03B,05,,09,,,,Libby Twp,100,36908,1,22,0,18,0,0,0,18,1,Model 100,8,10,0,0,0,0,0,0,18,4,6,8,0,0,0,18,0,5,13,0,18,,,,,0,6,12,0,18,6,11
LIBBY TWP W,0105,08,03B,05,,09,,,,Libby Twp,100,36908,1,9,2,9,0,0,0,9,1,Model 100,1,6,0,0,2,0,0,0,9,2,0,7,0,0,0,9,0,0,9,0,9,,,,,0,0,9,0,9,4,5
LOGAN TWP,0110,08,03B,05,,09,,,,Logan Twp,105,37844,1,101,22,91,7,0,0,98,2,Model 100,51,47,0,0,0,0,0,0,98,25,30,42,0,1,0,98,0,32,60,0,92,,,,,0,38,54,0,92,48,43
MCGRATH,0115,08,03B,03,,09,,,,Mcgrath,110,38996,1,67,15,49,18,0,0,67,2,Model 100,41,25,0,0,0,0,0,0,66,10,31,24,1,0,0,66,0,29,34,0,63,,,,,0,18,37,0,55,31,35
MCGREGOR,0120,08,03B,04,,09,,,,Mcgregor,114,39014,1,197,27,137,13,0,0,150,2,Model 100,64,78,0,0,4,0,0,0,146,25,48,72,1,0,0,146,0,46,99,0,145,,,,,0,60,85,0,145,79,62
MCGREGOR TWP,0125,08,03B,04,,09,,,,Mcgregor Twp,115,39032,1,57,10,51,3,0,0,54,2,Model 100,28,24,0,0,1,0,0,0,53,7,25,22,0,0,0,54,0,19,35,0,54,,,,,0,20,33,1,54,25,28
MACVILLE TWP,0130,08,03B,05,,09,,,,Macville Twp,125,39212,1,127,13,101,7,0,0,108,2,Model 100,43,55,1,0,7,0,2,0,108,24,32,50,0,2,0,108,0,33,73,0,106,,,,,0,36,70,0,106,50,53
MILLWARD TWP,0132,08,03B,03,,09,,,,Millward Twp,132,42300,1,33,2,29,2,0,0,31,1,Model 100,12,17,0,0,2,0,0,0,31,7,10,14,0,0,0,31,0,10,18,0,28,,,,,0,11,17,0,28,9,19
MALMO TWP,0135,08,03B,02,,09,,,,Malmo Twp,130,39590,1,251,25,214,22,0,0,236,2,Model 100,109,122,0,0,5,0,0,0,236,52,71,107,1,0,0,231,0,62,162,0,224,,,,,0,70,150,0,220,123,99
MORRISON TWP,0140,08,03B,04,,09,,,,Morrison Twp,135,44278,1,124,15,100,9,0,0,109,2,Model 100,60,43,0,1,1,0,2,2,109,25,47,37,0,0,0,109,0,50,56,0,106,,,,,0,55,48,0,103,33,73
NORDLAND TWP,0145,08,03B,02,,09,,,,Nordland Twp,140,46546,1,686,76,598,69,0,2,669,2,Model 100,348,308,3,0,6,1,0,1,667,125,284,250,4,1,0,664,0,258,395,0,653,,,,,0,297,353,1,651,336,315
PALISADE,0150,08,03B,05,,09,,,,Palisade,145,49498,1,104,25,88,17,0,0,105,2,Model 100,45,57,0,0,1,0,0,0,103,19,39,43,0,0,0,101,0,29,72,0,101,,,,,0,27,72,0,99,52,44
PLINY TWP,0155,08,03B,03,,09,,,,Pliny Twp,150,51694,1,59,2,35,4,0,0,39,1,Model 100,27,11,0,0,0,1,0,0,39,2,26,11,0,0,0,39,0,23,15,0,38,,,,,0,23,13,1,37,13,25
