PRCT,MCDName,MCD,FIPS,7AM,EDR,Signatures,TotVoters,USPRESR,USPRESDFL,USPRESGP,USPRESSWP,USPRESIND,USPRESLIB,USPRESCP,USPRESWI,USPRESTOT,USSENIP,USSENR,USSENDFL,USSENLIB,USSENCP,USSENWI,USSENTOT,CONGIP,CONGR,CONGDFL,CONGWI,CONGTOT,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOT,CTUPRE,7AMPercent,EDRPercent,PRPercent,PDPercent,CRPercent,CDPercent,MNRPercent,MNDPercent
0005,Aitkin,004,460,1190,166,869,1024,499,501,2,0,12,3,1,2,1020,177,414,407,7,3,4,1012,0,362,627,3,992,0,412,567,6,985,460:5,68.65,16.21,48.92,49.12,36.49,63.21,41.83,57.56
0010,Aitkin Twp,005,478,553,66,466,512,294,205,0,0,8,3,1,1,512,100,242,162,2,3,0,509,0,236,261,1,498,0,245,252,1,498,478:10,78.13,12.89,57.42,40.04,47.39,52.41,49.2,50.6
0015,Ball Bluff Twp,015,3358,217,17,180,187,81,98,1,0,5,1,0,0,186,34,64,87,1,0,0,186,0,56,126,0,182,0,54,125,0,179,3358:15,87.17,9.09,43.55,52.69,30.77,69.23,30.17,69.83
0020,Balsam Twp,020,3412,32,2,28,30,14,16,0,0,0,0,0,0,30,2,10,18,0,0,0,30,0,9,20,0,29,0,7,22,0,29,3412:20,86.67,6.67,46.67,53.33,31.03,68.97,24.14,75.86
0025,Beaver Twp,025,4384,46,2,31,34,8,25,0,0,0,0,0,0,33,3,5,25,0,0,0,33,0,6,26,0,32,0,6,28,0,34,4384:25,85.29,5.88,24.24,75.76,18.75,81.25,17.65,82.35
0030,Clark Twp,030,11620,111,13,99,105,53,50,0,0,1,0,0,1,105,12,45,45,0,0,0,102,0,35,67,0,102,0,30,68,0,98,11620:30,81.9,12.38,50.48,47.62,34.31,65.69,30.61,69.39
0035,Cornish Twp,035,13330,33,0,22,22,5,14,0,0,1,0,1,0,21,3,3,14,0,1,0,21,0,4,16,1,21,0,3,18,0,21,13330:35,100.0,0.0,23.81,66.67,19.05,76.19,14.29,85.71
0038,Davidson Unorganized,038,14903,23,3,22,24,9,14,0,0,0,0,1,0,24,5,7,11,0,1,0,24,0,6,17,0,23,0,6,16,0,22,14903:38,79.17,12.5,37.5,58.33,26.09,73.91,27.27,72.73
0040,Farm Island Twp,040,20654,789,61,603,750,398,331,0,0,13,1,1,3,747,147,331,263,0,3,0,744,0,312,418,0,730,0,327,401,0,728,20654:40,72.27,8.13,53.28,44.31,42.74,57.26,44.92,55.08
0045,Fleming Twp,045,21230,242,27,202,234,123,102,2,1,2,0,0,2,232,52,98,82,0,1,0,233,0,93,135,0,228,0,96,128,1,225,21230:45,74.79,11.54,53.02,43.97,40.79,59.21,42.67,56.89
0050,Glen Twp,050,23930,346,28,250,313,147,164,0,0,1,0,0,1,313,72,98,140,0,0,0,310,0,96,206,0,302,0,108,178,0,286,23930:50,70.93,8.95,46.96,52.4,31.79,68.21,37.76,62.24
0055,Haugen Twp,055,27602,134,5,108,116,51,60,0,0,3,2,0,0,116,19,45,51,0,1,0,116,0,42,74,0,116,0,42,70,1,113,27602:55,88.79,4.31,43.97,51.72,36.21,63.79,37.17,61.95
0060,Hazelton Twp,060,28052,523,62,418,495,234,251,1,0,5,3,0,0,494,101,187,205,2,0,0,495,0,191,299,0,490,0,197,281,0,478,28052:60,71.92,12.53,47.37,50.81,38.98,61.02,41.21,58.79
0065,Hill City,065,29096,334,58,245,260,110,140,2,1,3,2,0,0,258,34,84,134,2,1,0,255,0,73,176,0,249,0,93,161,0,254,29096:65,71.92,22.31,42.64,54.26,29.32,70.68,36.61,63.39
0070,Hill Lake Twp,070,29114,269,40,241,256,108,145,0,0,2,0,1,0,256,37,82,132,1,1,0,253,0,68,185,0,253,0,84,168,0,252,29114:70,78.52,15.63,42.19,56.64,26.88,73.12,33.33,66.67
0075,Idun Twp,075,30788,125,31,122,130,47,81,0,0,1,0,0,1,130,23,34,69,1,1,0,128,0,31,93,1,125,0,29,89,0,118,30788:75,70.0,23.85,36.15,62.31,24.8,74.4,24.58,75.42
0080,Jevne Twp,080,31958,193,24,151,159,80,69,1,0,5,2,0,0,157,26,68,60,2,1,0,157,0,49,103,0,152,0,57,95,0,152,31958:80,79.87,15.09,50.96,43.95,32.24,67.76,37.5,62.5
0082,Jewett Unorganized,082,31966,21,4,21,21,7,11,0,0,0,0,1,1,20,7,4,10,0,0,0,21,0,4,17,0,21,0,4,17,0,21,31966:82,80.95,19.05,35.0,55.0,19.05,80.95,19.05,80.95
0085,Kimberly Twp,085,33218,141,7,109,118,64,54,0,0,0,0,0,0,118,27,42,45,2,1,1,118,0,34,81,0,115,0,43,74,0,117,33218:85,86.44,5.93,54.24,45.76,29.57,70.43,36.75,63.25
0090,Lakeside Twp,090,34982,378,46,304,344,169,163,0,1,6,1,0,2,342,67,146,125,2,0,0,340,0,125,207,1,333,0,126,203,1,330,34982:90,75.0,13.37,49.42,47.66,37.54,62.16,38.18,61.52
0095,Lee Twp,095,36152,37,4,33,34,20,10,0,0,0,0,0,0,30,5,16,10,0,0,0,31,0,11,17,0,28,0,14,13,0,27,36152:95,85.29,11.76,66.67,33.33,39.29,60.71,51.85,48.15
0100,Libby Twp,100,36908,22,0,18,18,8,10,0,0,0,0,0,0,18,4,6,8,0,0,0,18,0,5,13,0,18,0,6,12,0,18,36908:100,100.0,0.0,44.44,55.56,27.78,72.22,33.33,66.67
0105,Libby Twp,100,36908,9,2,9,9,1,6,0,0,2,0,0,0,9,2,0,7,0,0,0,9,0,0,9,0,9,0,0,9,0,9,36908:105,77.78,22.22,11.11,66.67,0.0,100.0,0.0,100.0
0110,Logan Twp,105,37844,101,22,91,98,51,47,0,0,0,0,0,0,98,25,30,42,0,1,0,98,0,32,60,0,92,0,38,54,0,92,37844:110,70.41,22.45,52.04,47.96,34.78,65.22,41.3,58.7
0115,Mcgrath,110,38996,67,15,49,67,41,25,0,0,0,0,0,0,66,10,31,24,1,0,0,66,0,29,34,0,63,0,18,37,0,55,38996:115,50.75,22.39,62.12,37.88,46.03,53.97,32.73,67.27
0120,Mcgregor,114,39014,197,27,137,150,64,78,0,0,4,0,0,0,146,25,48,72,1,0,0,146,0,46,99,0,145,0,60,85,0,145,39014:120,73.33,18.0,43.84,53.42,31.72,68.28,41.38,58.62
0125,Mcgregor Twp,115,39032,57,10,51,54,28,24,0,0,1,0,0,0,53,7,25,22,0,0,0,54,0,19,35,0,54,0,20,33,1,54,39032:125,75.93,18.52,52.83,45.28,35.19,64.81,37.04,61.11
0130,Macville Twp,125,39212,127,13,101,108,43,55,1,0,7,0,2,0,108,24,32,50,0,2,0,108,0,33,73,0,106,0,36,70,0,106,39212:130,81.48,12.04,39.81,50.93,31.13,68.87,33.96,66.04
0132,Millward Twp,132,42300,33,2,29,31,12,17,0,0,2,0,0,0,31,7,10,14,0,0,0,31,0,10,18,0,28,0,11,17,0,28,42300:132,87.1,6.45,38.71,54.84,35.71,64.29,39.29,60.71
0135,Malmo Twp,130,39590,251,25,214,236,109,122,0,0,5,0,0,0,236,52,71,107,1,0,0,231,0,62,162,0,224,0,70,150,0,220,39590:135,80.08,10.59,46.19,51.69,27.68,72.32,31.82,68.18
0140,Morrison Twp,135,44278,124,15,100,109,60,43,0,1,1,0,2,2,109,25,47,37,0,0,0,109,0,50,56,0,106,0,55,48,0,103,44278:140,77.98,13.76,55.05,39.45,47.17,52.83,53.4,46.6
0145,Nordland Twp,140,46546,686,76,598,669,348,308,3,0,6,1,0,1,667,125,284,250,4,1,0,664,0,258,395,0,653,0,297,353,1,651,46546:145,78.03,11.36,52.17,46.18,39.51,60.49,45.62,54.22
0150,Palisade,145,49498,104,25,88,105,45,57,0,0,1,0,0,0,103,19,39,43,0,0,0,101,0,29,72,0,101,0,27,72,0,99,49498:150,60.0,23.81,43.69,55.34,28.71,71.29,27.27,72.73
0155,Pliny Twp,150,51694,59,2,35,39,27,11,0,0,0,1,0,0,39,2,26,11,0,0,0,39,0,23,15,0,38,0,23,13,1,37,51694:155,84.62,5.13,69.23,28.21,60.53,39.47,62.16,35.14
0160,Rice River Twp,155,54106,93,14,86,89,50,38,0,0,1,0,0,0,89,19,44,26,0,0,0,89,0,35,53,0,88,0,36,51,0,87,54106:160,80.9,15.73,56.18,42.7,39.77,60.23,41.38,58.62
0165,Salo Twp,160,58270,67,9,56,59,18,37,1,0,3,0,0,0,59,10,16,31,1,0,0,58,0,15,40,0,55,0,16,38,0,54,58270:165,79.66,15.25,30.51,62.71,27.27,72.73,29.63,70.37
0170,Seavey Twp,165,59134,39,5,30,38,22,12,0,0,2,1,1,0,38,6,20,11,0,0,0,37,0,15,20,0,35,0,17,19,0,36,59134:170,65.79,13.16,57.89,31.58,42.86,57.14,47.22,52.78
0175,Shamrock Twp,170,59368,848,101,620,750,359,373,0,0,8,1,0,5,746,147,269,323,0,0,1,740,0,250,474,1,725,0,273,437,1,711,59368:175,69.2,13.47,48.12,50.0,34.48,65.38,38.4,61.46
0180,Spalding Twp,175,61546,136,34,80,115,37,76,0,0,1,0,0,0,114,9,25,78,0,0,0,112,0,18,91,0,109,0,25,85,0,110,61546:180,40.0,29.57,32.46,66.67,16.51,83.49,22.73,77.27
0185,Spencer Twp,180,61654,358,39,305,331,169,153,0,1,4,0,1,2,330,75,136,112,2,1,1,327,0,121,198,1,320,0,144,179,1,324,61654:185,80.36,11.78,51.21,46.36,37.81,61.88,44.44,55.25
0190,Tamarack,185,64156,49,2,33,35,9,25,0,0,0,0,0,0,34,9,5,20,0,0,0,34,0,8,26,0,34,0,9,24,0,33,64156:190,88.57,5.71,26.47,73.53,23.53,76.47,27.27,72.73
0195,Turner Twp,190,65722,128,10,109,115,55,56,0,0,2,0,0,0,113,12,52,47,2,0,0,113,0,44,69,0,113,0,42,67,0,109,65722:195,86.09,8.7,48.67,49.56,38.94,61.06,38.53,61.47
0200,Verdon Twp,195,66748,36,4,30,34,17,15,0,0,1,0,1,0,34,9,14,11,0,0,0,34,0,15,18,0,33,0,14,19,0,33,66748:200,76.47,11.76,50.0,44.12,45.45,54.55,42.42,57.58
0205,Wagner Twp,200,67540,218,27,185,207,96,103,0,0,3,2,3,0,207,40,73,93,0,1,0,207,0,65,138,0,203,0,81,115,0,196,67540:205,76.33,13.04,46.38,49.76,32.02,67.98,41.33,58.67
0210,Waukenabo Twp,205,68692,239,14,192,199,91,103,0,0,4,0,1,0,199,35,74,87,0,2,0,198,0,82,114,1,197,0,76,120,0,196,68692:210,89.45,7.04,45.73,51.76,41.62,57.87,38.78,61.22
0215,Wealthwood Twp,210,68872,216,22,175,200,77,121,0,0,1,1,0,0,200,38,58,100,0,2,0,198,0,64,130,0,194,0,59,134,0,193,68872:215,76.5,11.0,38.5,60.5,32.99,67.01,30.57,69.43
0220,White Pine Twp,215,70132,23,4,22,24,18,6,0,0,0,0,0,0,24,4,14,6,0,0,0,24,0,10,14,0,24,0,10,12,0,22,70132:220,75.0,16.67,75.0,25.0,41.67,58.33,45.45,54.55
0225,Williams Twp,220,70384,85,14,63,70,30,37,0,0,0,1,2,0,70,14,24,29,0,1,0,68,0,23,43,0,66,0,24,41,0,65,70384:225,70.0,20.0,42.86,52.86,34.85,65.15,36.92,63.08
