PRCT,MCDName,MCD,FIPS,7AM,EDR,Signatures,TotVoters,USPRESR,USPRESDFL,USPRESGP,USPRESSWP,USPRESIND,USPRESLIB,USPRESCP,USPRESWI,USPRESTOT,USSENIP,USSENR,USSENDFL,USSENLIB,USSENCP,USSENWI,USSENTOT,CONGIP,CONGR,CONGDFL,CONGWI,CONGTOT,MNLEGIP,MNLEGR,MNLEGDFL,MNLEGWI,MNLEGTOT
0005,Aitkin,004,460,1190,166,869,1024,499,501,2,0,12,3,1,2,1020,177,414,407,7,3,4,1012,0,362,627,3,992,0,412,567,6,985
0010,Aitkin Twp,005,478,553,66,466,512,294,205,0,0,8,3,1,1,512,100,242,162,2,3,0,509,0,236,261,1,498,0,245,252,1,498
0015,Ball Bluff Twp,015,3358,217,17,180,187,81,98,1,0,5,1,0,0,186,34,64,87,1,0,0,186,0,56,126,0,182,0,54,125,0,179
0020,Balsam Twp,020,3412,32,2,28,30,14,16,0,0,0,0,0,0,30,2,10,18,0,0,0,30,0,9,20,0,29,0,7,22,0,29
0025,Beaver Twp,025,4384,46,2,31,34,8,25,0,0,0,0,0,0,33,3,5,25,0,0,0,33,0,6,26,0,32,0,6,28,0,34
0030,Clark Twp,030,11620,111,13,99,105,53,50,0,0,1,0,0,1,105,12,45,45,0,0,0,102,0,35,67,0,102,0,30,68,0,98
0035,Cornish Twp,035,13330,33,0,22,22,5,14,0,0,1,0,1,0,21,3,3,14,0,1,0,21,0,4,16,1,21,0,3,18,0,21
0038,Davidson Unorganized,038,14903,23,3,22,24,9,14,0,0,0,0,1,0,24,5,7,11,0,1,0,24,0,6,17,0,23,0,6,16,0,22
0040,Farm Island Twp,040,20654,789,61,603,750,398,331,0,0,13,1,1,3,747,147,331,263,0,3,0,744,0,312,418,0,730,0,327,401,0,728
0045,Fleming Twp,045,21230,242,27,202,234,123,102,2,1,2,0,0,2,232,52,98,82,0,1,0,233,0,93,135,0,228,0,96,128,1,225
0050,Glen Twp,050,23930,346,28,250,313,147,164,0,0,1,0,0,1,313,72,98,140,0,0,0,310,0,96,206,0,302,0,108,178,0,286
0055,Haugen Twp,055,27602,134,5,108,116,51,60,0,0,3,2,0,0,116,19,45,51,0,1,0,116,0,42,74,0,116,0,42,70,1,113
0060,Hazelton Twp,060,28052,523,62,418,495,234,251,1,0,5,3,0,0,494,101,187,205,2,0,0,495,0,191,299,0,490,0,197,281,0,478
0065,Hill City,065,29096,334,58,245,260,110,140,2,1,3,2,0,0,258,34,84,134,2,1,0,255,0,73,176,0,249,0,93,161,0,254
0070,Hill Lake Twp,070,29114,269,40,241,256,108,145,0,0,2,0,1,0,256,37,82,132,1,1,0,253,0,68,185,0,253,0,84,168,0,252
0075,Idun Twp,075,30788,125,31,122,130,47,81,0,0,1,0,0,1,130,23,34,69,1,1,0,128,0,31,93,1,125,0,29,89,0,118
0080,Jevne Twp,080,31958,193,24,151,159,80,69,1,0,5,2,0,0,157,26,68,60,2,1,0,157,0,49,103,0,152,0,57,95,0,152
0082,Jewett Unorganized,082,31966,21,4,21,21,7,11,0,0,0,0,1,1,20,7,4,10,0,0,0,21,0,4,17,0,21,0,4,17,0,21
0085,Kimberly Twp,085,33218,141,7,109,118,64,54,0,0,0,0,0,0,118,27,42,45,2,1,1,118,0,34,81,0,115,0,43,74,0,117
0090,Lakeside Twp,090,34982,378,46,304,344,169,163,0,1,6,1,0,2,342,67,146,125,2,0,0,340,0,125,207,1,333,0,126,203,1,330
0095,Lee Twp,095,36152,37,4,33,34,20,10,0,0,0,0,0,0,30,5,16,10,0,0,0,31,0,11,17,0,28,0,14,13,0,27
0100,Libby Twp,100,36908,22,0,18,18,8,10,0,0,0,0,0,0,18,4,6,8,0,0,0,18,0,5,13,0,18,0,6,12,0,18
0105,Libby Twp,100,36908,9,2,9,9,1,6,0,0,2,0,0,0,9,2,0,7,0,0,0,9,0,0,9,0,9,0,0,9,0,9
0110,Logan Twp,105,37844,101,22,91,98,51,47,0,0,0,0,0,0,98,25,30,42,0,1,0,98,0,32,60,0,92,0,38,54,0,92
0115,Mcgrath,110,38996,67,15,49,67,41,25,0,0,0,0,0,0,66,10,31,24,1,0,0,66,0,29,34,0,63,0,18,37,0,55
0120,Mcgregor,114,39014,197,27,137,150,64,78,0,0,4,0,0,0,146,25,48,72,1,0,0,146,0,46,99,0,145,0,60,85,0,145
0125,Mcgregor Twp,115,39032,57,10,51,54,28,24,0,0,1,0,0,0,53,7,25,22,0,0,0,54,0,19,35,0,54,0,20,33,1,54
0130,Macville Twp,125,39212,127,13,101,108,43,55,1,0,7,0,2,0,108,24,32,50,0,2,0,108,0,33,73,0,106,0,36,70,0,106
